Move, Size
1,  72
2,  1
3,  2
1,  72
2,  14
3,  1
1,  72
2,  14
3,  3
1,  72
2,  10
3,  2
1,  72
2,  6
3,  2
1,  72
2,  4
1,  72
2,  1
1,  72
2,  1
1,  72
2,  6
3,  1
1,  72
2,  6
3,  3
1,  72
2,  6
3,  2
1,  72
2,  6
3,  2
1,  72
2,  14
1,  72
2,  14
3,  1
1,  72
2,  2
1,  72
2,  16
3,  3
1,  72
2,  14
1,  72
2,  6
1,  72
2,  14
3,  2
4,  2
1,  72
2,  2
3,  2
1,  72
2,  10
3,  2
1,  72
2,  6
1,  72
2,  6
1,  24
2,  3
